report_date,load_weight,Rolling_Mean_7D,Day_of_Week
2003-01-13,10.085,10.085,Monday
2003-01-14,10.085,10.085,Tuesday
2003-01-15,10.085,10.085,Wednesday
2003-01-16,10.085,10.085,Thursday
2003-01-17,10.085,10.085,Friday
2003-01-18,10.085,10.085,Saturday
2003-01-19,10.085,10.085,Sunday
2003-01-20,10.085,10.085,Monday
2003-01-21,10.085,10.085,Tuesday
2003-01-22,10.085,10.085,Wednesday
2003-01-23,10.085,10.085,Thursday
2003-01-24,10.085,10.085,Friday
2003-01-25,10.085,10.085,Saturday
2003-01-26,10.085,10.085,Sunday
2003-01-27,10.085,10.085,Monday
2003-01-28,10.085,10.085,Tuesday
2003-01-29,10.085,10.085,Wednesday
2003-01-30,10.085,10.085,Thursday
2003-01-31,10.085,10.085,Friday
2003-02-01,10.085,10.085,Saturday
2003-02-02,10.085,10.085,Sunday
2003-02-03,10.085,10.085,Monday
2003-02-04,10.085,10.085,Tuesday
2003-02-05,10.085,10.085,Wednesday
2003-02-06,10.085,10.085,Thursday
2003-02-07,10.085,10.085,Friday
2003-02-08,10.085,10.085,Saturday
2003-02-09,10.085,10.085,Sunday
2003-02-10,10.085,10.085,Monday
2003-02-11,10.085,10.085,Tuesday
2003-02-12,10.085,10.085,Wednesday
2003-02-13,10.085,10.085,Thursday
2003-02-14,10.085,10.085,Friday
2003-02-15,10.085,10.085,Saturday
2003-02-16,10.085,10.085,Sunday
2003-02-17,10.085,10.085,Monday
2003-02-18,10.085,10.085,Tuesday
2003-02-19,10.085,10.085,Wednesday
2003-02-20,10.085,10.085,Thursday
2003-02-21,10.085,10.085,Friday
2003-02-22,10.085,10.085,Saturday
2003-02-23,10.085,10.085,Sunday
2003-02-24,10.085,10.085,Monday
2003-02-25,10.085,10.085,Tuesday
2003-02-26,10.085,10.085,Wednesday
2003-02-27,10.085,10.085,Thursday
2003-02-28,10.085,10.085,Friday
2003-03-01,10.085,10.085,Saturday
2003-03-02,10.085,10.085,Sunday
2003-03-03,10.085,10.085,Monday
2003-03-04,10.085,10.085,Tuesday
2003-03-05,10.085,10.085,Wednesday
2003-03-06,10.085,10.085,Thursday
2003-03-07,10.085,10.085,Friday
2003-03-08,10.085,10.085,Saturday
2003-03-09,10.085,10.085,Sunday
2003-03-10,10.085,10.085,Monday
2003-03-11,10.085,10.085,Tuesday
2003-03-12,10.085,10.085,Wednesday
2003-03-13,10.085,10.085,Thursday
2003-03-14,10.085,10.085,Friday
2003-03-15,10.085,10.085,Saturday
2003-03-16,10.085,10.085,Sunday
2003-03-17,10.085,10.085,Monday
2003-03-18,10.085,10.085,Tuesday
2003-03-19,10.085,10.085,Wednesday
2003-03-20,10.085,10.085,Thursday
2003-03-21,10.085,10.085,Friday
2003-03-22,10.085,10.085,Saturday
2003-03-23,10.085,10.085,Sunday
2003-03-24,10.085,10.085,Monday
2003-03-25,10.085,10.085,Tuesday
2003-03-26,10.085,10.085,Wednesday
2003-03-27,10.085,10.085,Thursday
2003-03-28,10.085,10.085,Friday
2003-03-29,10.085,10.085,Saturday
2003-03-30,10.085,10.085,Sunday
2003-03-31,10.085,10.085,Monday
2003-04-01,10.085,10.085,Tuesday
2003-04-02,10.085,10.085,Wednesday
2003-04-03,10.085,10.085,Thursday
2003-04-04,10.085,10.085,Friday
2003-04-05,10.085,10.085,Saturday
2003-04-06,10.085,10.085,Sunday
2003-04-07,10.085,10.085,Monday
2003-04-08,10.085,10.085,Tuesday
2003-04-09,10.085,10.085,Wednesday
2003-04-10,10.085,10.085,Thursday
2003-04-11,10.085,10.085,Friday
2003-04-12,10.085,10.085,Saturday
2003-04-13,10.085,10.085,Sunday
2003-04-14,10.085,10.085,Monday
2003-04-15,10.085,10.085,Tuesday
2003-04-16,10.085,10.085,Wednesday
2003-04-17,10.085,10.085,Thursday
2003-04-18,10.085,10.085,Friday
2003-04-19,10.085,10.085,Saturday
2003-04-20,10.085,10.085,Sunday
2003-04-21,10.085,10.085,Monday
2003-04-22,10.085,10.085,Tuesday
2003-04-23,10.085,10.085,Wednesday
2003-04-24,10.085,10.085,Thursday
2003-04-25,10.085,10.085,Friday
2003-04-26,10.085,10.085,Saturday
2003-04-27,10.085,10.085,Sunday
2003-04-28,10.085,10.085,Monday
2003-04-29,10.085,10.085,Tuesday
2003-04-30,10.085,10.085,Wednesday
2003-05-01,10.085,10.085,Thursday
2003-05-02,10.085,10.085,Friday
2003-05-03,10.085,10.085,Saturday
2003-05-04,10.085,10.085,Sunday
2003-05-05,10.085,10.085,Monday
2003-05-06,10.085,10.085,Tuesday
2003-05-07,10.085,10.085,Wednesday
2003-05-08,10.085,10.085,Thursday
2003-05-09,10.085,10.085,Friday
2003-05-10,10.085,10.085,Saturday
2003-05-11,10.085,10.085,Sunday
2003-05-12,10.085,10.085,Monday
2003-05-13,10.085,10.085,Tuesday
2003-05-14,10.085,10.085,Wednesday
2003-05-15,10.085,10.085,Thursday
2003-05-16,10.085,10.085,Friday
2003-05-17,10.085,10.085,Saturday
2003-05-18,10.085,10.085,Sunday
2003-05-19,10.085,10.085,Monday
2003-05-20,10.085,10.085,Tuesday
2003-05-21,10.085,10.085,Wednesday
2003-05-22,10.085,10.085,Thursday
2003-05-23,10.085,10.085,Friday
2003-05-24,10.085,10.085,Saturday
2003-05-25,10.085,10.085,Sunday
2003-05-26,10.085,10.085,Monday
2003-05-27,10.085,10.085,Tuesday
2003-05-28,10.085,10.085,Wednesday
2003-05-29,10.085,10.085,Thursday
2003-05-30,10.085,10.085,Friday
2003-05-31,10.085,10.085,Saturday
2003-06-01,10.085,10.085,Sunday
2003-06-02,10.085,10.085,Monday
2003-06-03,10.085,10.085,Tuesday
2003-06-04,10.085,10.085,Wednesday
2003-06-05,10.085,10.085,Thursday
2003-06-06,10.085,10.085,Friday
2003-06-07,10.085,10.085,Saturday
2003-06-08,10.085,10.085,Sunday
2003-06-09,10.085,10.085,Monday
2003-06-10,10.085,10.085,Tuesday
2003-06-11,10.085,10.085,Wednesday
2003-06-12,10.085,10.085,Thursday
2003-06-13,10.085,10.085,Friday
